Licence Num,Licensee,Trading As,Category,Trading Hours,After 11 pm,Suburb,Latitude,Longitude,Postal Address,Postal Suburb,Postal Postcode,Council,Region,Metro/Regional,Gaming,geom,geom_suburb
32206432,HALLMARK GROUP (AUST) PTY LTD,THE PRAGUE VENUE,Late night (on-premises) Licence,Trading to 3am,Trading to 3AM,THORNBURY,-37.75286244,145.0013544,LEVEL 9 171 LATROBE STREET,MELBOURNE,3000,DAREBIN CITY COUNCIL,Metro North,Metro,N,POINT (145.0013544 -37.75286244),Darebin- Northcote
32206466,COMBINATION LOCK PTY LTD,COMBINATION LOCK PTY LTD,Late night (on-premises) Licence,Trading 24 hours,Trading 24 Hours,MELBOURNE,-37.81285424,144.9713379,LEVEL 2 CURTIN HOUSE 252 SWANSTON STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9713379 -37.81285424),Melbourne - Inner
32206602,PATTY MALONNES BAR PTY LTD,INFLATION NIGHTCLUB,Late night (on-premises) Licence,Trading to 7am,Trading to 8AM,MELBOURNE,-37.81890836,144.957165,54-60 KING STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.957165 -37.81890836),Melbourne - Inner
32206791,MINARDI PTY LTD,COLONIAL HOTEL,Late night (on-premises) Licence,Trading to 7am,Trading to 8AM,MELBOURNE,-37.81459336,144.95518238,585 LONSDALE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.95518238 -37.81459336),Melbourne - Inner
32207111,BOX HILL INSTITUTE OF TAFE,FOUNTAINS RESTAURANT & THE DE BERTOLI WINE STUDIES,On-Premises Licence,Ordinary trading hours,Trading to 11PM,BOX HILL,-37.81654976,145.114024,PRIVATE BAG 2014,BOX HILL,3128,WHITEHORSE CITY COUNCIL,Metro East,Metro,N,POINT (145.114024 -37.81654976),Whitehorse - Box Hill
32122581,RINGWOOD BOWLS CLUB INC,RINGWOOD BOWLS CLUB,Full Club Licence,Full club licence,Trading to 11PM,RINGWOOD,-37.80361916,145.22862969999997,PO BOX 149,RINGWOOD,3134,MAROONDAH CITY COUNCIL,Metro East,Metro,N,POINT (145.2286297 -37.80361916),Maroondah - Ringwood
32122696,WILLIAMSTOWN FOOTBALL CLUB,SEAGULLS NEST,Full Club Licence,Full club licence,Trading to 11PM,NEWPORT,-37.84321317,144.88274760000002,1 MASON STREET,NEWPORT,3015,HOBSONS BAY CITY COUNCIL,Metro West,Metro,Y,POINT (144.8827476 -37.84321317),Hobsons Bay - Williamstown
32122777,MOONEE VALLEY RACING CLUB INC,MVRC JUNCTION CLUB,Full Club Licence,Full club licence,Trading to 11PM,MOONEE PONDS,-37.76738255,144.92565580000002,740 MOUNT ALEXANDER ROAD,MOONEE PONDS,3039,MOONEE VALLEY CITY COUNCIL,Metro West,Metro,Y,POINT (144.9256558 -37.76738255),Moonee Valley - Essendon
32122913,CARRUM PATTERSON LAKES SPORTS CLUB INC,CARRUM PATTERSON LAKES SPORTS CLUB,Full Club Licence,Full club licence,Trading to 11PM,CARRUM,-38.077064,145.132698,PO BOX 12060,CARRUM,3197,KINGSTON CITY COUNCIL,Metro South,Metro,N,POINT (145.132698 -38.077064),Kingston - South
32150013,ROYAL VICTORIAN AERO CLUB,FLIGHT DECK BAR & GRILL,Full Club Licence,Full club licence,Trading to 11PM,MENTONE,-37.9750652,145.09252759999998,37 FIRST AVENUE MOORABBIN AIRPORT,MENTONE,3194,KINGSTON CITY COUNCIL,Metro South,Metro,N,POINT (145.0925276 -37.9750652),Kingston - North
